event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
STARTUP EXPO 2025,AllEvents,,Business Summit,12-07-2025,"White Feather, PESU ECC Main Road, opposite metro wholesale &, Electronics City Phase 1, Electronic City, Beratena Agrahara, Bengaluru, Karnataka, India",,https://allevents.in/bangalore/startup-expo-2025-tickets/80001484564638,
VIBE Summit '25,AllEvents,,Business Summit,11-07-2025,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,,https://allevents.in/bangalore/vibe-summit-25-tickets/80004758526332,
INDIA RETAIL INVESTORS EXPO & CONFERENCE 2025,AllEvents,,Business Summit,12-10-2025,KARNATAKA TRADE PROMOTION ORGANISATION,,https://allevents.in/bangalore/india-retail-investors-expo-and-conference-2025-tickets/80003385051081,
Startup Investors Forum Bengaluru 2025,AllEvents,,Business Summit,28-06-2025,2gethr @ Orr,,https://allevents.in/bangalore/startup-investors-forum-bengaluru-2025-tickets/80002427870570,
CAPITAL CONNECT - BANGALORE,AllEvents,,Business Summit,21-06-2025,ICB INDIAN CRAFT BREWERY,,https://allevents.in/bangalore/capital-connect-bangalore-tickets/80003184786886,
Founders Meet | Bengaluru | June 27,AllEvents,,Business Summit,27-06-2025,Fortius Origin,,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,
MEWAR YOUTH CONCLAVE,AllEvents,,Business Summit,22-06-2025,Princess Golf,,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,
VIBE SUMMIT 2025 FOR ENTERPRISES,AllEvents,,Business Summit,11-07-2025,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,,https://allevents.in/bangalore/vibe-summit-2025-for-enterprises-tickets/80006221693518,
Test Automation Summit | Bangalore| 2025,AllEvents,,Business Summit,27-06-2025,Bengaluru,,https://allevents.in/bengaluru/test-automation-summit-|-bangalore|-2025/100001280571607149,
MEWAR KE SITARE,AllEvents,,Business Summit,22-06-2025,Princess Golf,,https://allevents.in/bangalore/mewar-ke-sitare/80002698819594,
Bangalore: Business Networking Meetup Exclusive - pre-event for Startup Summit,AllEvents,,Business Summit,04-08-2025,Bangalore,,https://allevents.in/bangalore/bangalore-business-networking-meetup-exclusive-pre-event-for-startup-summit-tickets/80001122573405,
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,,Business Summit,05-08-2025,to beupdated,,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,,Business Summit,29-06-2025,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",,https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,
Caridia's Private Dinner - for the Emotionally Fluent & Intellectually Curious,AllEvents,,Business Summit,26-06-2025,Loco Bear - The Ultimate Entertainment Hub,,https://allevents.in/bangalore/caridias-private-dinner-for-the-emotionally-fluent-and-intellectually-curious-tickets/80002925484004,
Personal finance and networking meetup,AllEvents,,Business Summit,05-07-2025,Starbucks,,https://allevents.in/bangalore/personal-finance-and-networking-meetup-tickets/80003589964214,
Bengaluru Founders Breakfast Club 2025,AllEvents,,Business Summit,21-06-2025,Nanav Cafe,,https://allevents.in/bangalore/bengaluru-founders-breakfast-club-2025-tickets/80009496642063,
MEWAR YOUTH CONCLAVE,AllEvents,,Business Summit,22-06-2025,Princess Golf,,https://allevents.in/bangalore/mewar-youth-conclave-tickets/80001061959728,
Ecommerce Events & Conferences - E-commerce & Digital Natives Summit 2025,AllEvents,,Business Summit,27-06-2025,Conrad Bengaluru,,https://allevents.in/bangalore/ecommerce-events-and-conferences-e-commerce-and-digital-natives-summit-2025/80001910021716,
Upcoming Dubai Real Estate Expo in Banglore Book Your Ticket Free,AllEvents,,Business Summit,29-06-2025,"JW Marriott Hotel, Vittal Mallya Road, KG Halli, Shanthala Nagar, Ashok Nagar, Bangalore, Karnataka, India",,https://allevents.in/bangalore/upcoming-dubai-real-estate-expo-in-banglore-book-your-ticket-free-tickets/80002558171883,
Auto show 2025,AllEvents,,Business Summit,21-09-2025,Tripura Vasini White Petals,,https://allevents.in/bangalore/auto-show-2025-tickets/80002412284819,
Mega Wedding Expo-2025,AllEvents,,Business Summit,15-08-2025,Tripuravasini,,https://allevents.in/bangalore/mega-wedding-expo-2025-tickets/80009050100951,
Founders Meet | Bengaluru | June 27,AllEvents,,Business Summit,27-06-2025,Fortius Origin,,https://allevents.in/bangalore/founders-meet-|-bengaluru-|-june-27-tickets/80005269953592,
Banglore | Crypto Traders and Developers/ Career Meetup,AllEvents,,Business Summit,05-08-2025,to beupdated,,https://allevents.in/bangalore/banglore-|-crypto-traders-and-developers-career-meetup-tickets/80007392305669,
"Bongo Utsav 2.0- Bengaluru @ Gate 9, Palace Ground",AllEvents,,Business Summit,03-08-2025,Gate 9 Palace Grounds,,https://allevents.in/bangalore/bongo-utsav-20-bengaluru-gate-9-palace-ground/200028072622914,
