event_title,platform,topic_tags,event_type,event_date,location,speakers_orgs,url,audience_segment
The AI Shift in B2C | From User Experience to Operational Decisions,Luma,,Meetup,,Location,,https://lu.ma/fqrhf805,
Agara Walks & Filter Kaapi - All Things Health | Global GTM for HealthTech Startups & AI in Health,Luma,,Meetup,,Location,,https://lu.ma/dbiihmyw,
AI Day Bengaluru,Luma,,Meetup,,Location,,https://lu.ma/acvb1fkb,
VIBE-ATHON: Where AI Meets Firebase Magic ⚡,Luma,,Meetup,,Location,,https://lu.ma/y1arivc5,
Build Your Own DailySync Agent,Luma,,Meetup,,Location,,https://lu.ma/lwl5dh24,
Finders Market,Luma,,Meetup,,Location,,https://lu.ma/4z3xdnlu,
Be with BitGo: Aspiring Engineers Meetup,Luma,,Meetup,,Location,,https://lu.ma/5xd38txc,
💌 Letters to Strangers,Luma,,Meetup,,Location,,https://lu.ma/0q5bj8tt,
Moonshot Mixers - AI x Health (Powered by THC),Luma,,Meetup,,Location,,https://lu.ma/onbbaax5,
SidebySide with Pride | Pride Fair & Drag Show,Luma,,Meetup,,Location,,https://lu.ma/3kuinlxe,
The Startup Ecosystem Meetup By CEDAT,Luma,,Meetup,,Location,,https://lu.ma/y4epewut,
Deloitte Tohmatsu Morning Pitch India - Health & Lifestyle,Luma,,Meetup,,Location,,https://lu.ma/b65wqn56,
-1 To Whatfix with Vara Kumar Namburu,Luma,,Meetup,,Location,,https://lu.ma/xpteotg4,
Namma Bengaluru Entrepreneurs Meetup By CEDAT,Luma,,Meetup,,Location,,https://lu.ma/xuwn170s,
"Startup Mixer – Connect, Collaborate, and Grow!",Luma,,Meetup,,Location,,https://lu.ma/4onlm8ms,
Women in AI: Where Do We Fit in AI?,Luma,,Meetup,,Location,,https://lu.ma/v82dm8yw,
GenAI Connect!,Luma,,Meetup,,Location,,https://lu.ma/we9oa8ye,
Women Founders Club,Luma,,Meetup,,Location,,https://lu.ma/b78th7lb,
ClimateConnect Careers Mixer hosted by the Global Shapers BLR Community,Luma,,Meetup,,Location,,https://lu.ma/r6cjzj0d,
Agentic Summit  BLR - Bring Your Own Agent,Luma,,Meetup,,Location,,https://lu.ma/geqzcvrc,
"Career Orbit – One Orbit. Infinite Possibilities.         Connecting Students, Graduates, and Job Seekers to Infinite Career Opportunities!",Luma,,Meetup,,Location,,https://lu.ma/4a88bqnm,
Poha-Jalebi Club,Luma,,Meetup,,Location,,https://lu.ma/d2up1uie,
Summer Party 🔥,Luma,,Meetup,,Location,,https://lu.ma/rj21285t,
Founder Networking Mixer | Coffee with Founders,Luma,,Meetup,,Location,,https://lu.ma/fcstitwl,
